date,steps,kcal
2023/9/16,14124,424
2023/9/17,4231,127
2023/9/18,7722,232
2023/9/19,9258,278
2023/9/20,12174,365
2023/9/21,4939,148
2023/9/22,10451,314
2023/9/23,8992,270
2023/9/24,2192,66
2023/9/25,12883,386
2023/9/26,7909,237
2023/9/27,11458,344
2023/9/28,7385,222
2023/9/29,9730,292
2023/9/30,8377,251
2023/10/1,10042,301
2023/10/2,2359,71
2023/10/3,12450,374
2023/10/4,13903,417
2023/10/5,12455,374
2023/10/6,193,6
2023/10/7,6013,180
2023/10/8,9595,288
2023/10/9,11429,343
2023/10/10,12284,369
2023/10/11,3359,101
2023/10/12,13063,392
2023/10/13,365,11
2023/10/14,4944,148
2023/10/15,835,25
2023/10/16,8677,260
2023/10/17,4961,149
2023/10/18,11476,344
2023/10/19,9788,294
2023/10/20,7814,234
2023/10/21,14091,423
2023/10/22,7402,222
2023/10/23,2036,61
2023/10/24,10172,305
2023/10/25,14196,426
2023/10/26,6269,188
2023/10/27,12648,379
2023/10/28,262,8
2023/10/29,4200,126
2023/10/30,10233,307
2023/10/31,2128,64
2023/11/1,13429,403
2023/11/2,12506,375
2023/11/3,14644,439
2023/11/4,4916,147
2023/11/5,2561,77
2023/11/6,4622,139
2023/11/7,4727,142
2023/11/8,13374,401
2023/11/9,12047,361
2023/11/10,12787,384
2023/11/11,3170,95
2023/11/12,12934,388
2023/11/13,2709,81
2023/11/14,8301,249
2023/11/15,30,1
2023/11/16,9862,296
2023/11/17,2959,89
2023/11/18,782,23
2023/11/19,10666,320
2023/11/20,4765,143
2023/11/21,7404,222
2023/11/22,1528,46
2023/11/23,3758,113
2023/11/24,4130,124
2023/11/25,10294,309
2023/11/26,12942,388
2023/11/27,11718,352
2023/11/28,14285,429
2023/11/29,2401,72
2023/11/30,8756,263
2023/12/1,11456,344
2023/12/2,10013,300
2023/12/3,844,25
2023/12/4,13302,399
2023/12/5,6833,205
2023/12/6,14960,449
2023/12/7,2927,88
2023/12/8,13355,401
2023/12/9,18,1
2023/12/10,9578,287
2023/12/11,5900,177
2023/12/12,4960,149
2023/12/13,4333,130
2023/12/14,14019,421
2023/12/15,12826,385
2023/12/16,1731,52
2023/12/17,7136,214
2023/12/18,12733,382
2023/12/19,12903,387
2023/12/20,5166,155
2023/12/21,7550,227
2023/12/22,3826,115
2023/12/23,8923,268
2023/12/24,247,7
2023/12/25,13233,397
2023/12/26,452,14
2023/12/27,11646,349
2023/12/28,9938,298
2023/12/29,8504,255
2023/12/30,10679,320
2023/12/31,2963,89
2024/1/1,0,0
2024/1/2,10,0
2024/1/3,3710,111
2024/1/4,14275,428
2024/1/5,2370,71
2024/1/6,14818,445
2024/1/7,2737,82
2024/1/8,6812,204
2024/1/9,3932,118
2024/1/10,4274,128
2024/1/11,7968,239
2024/1/12,13876,416
2024/1/13,8726,262
2024/1/14,10396,312
2024/1/15,7395,222
2024/1/16,9118,274
2024/1/17,5705,171
2024/1/18,1307,39
2024/1/19,2520,76
2024/1/20,10431,313
2024/1/21,6017,181
2024/1/22,12259,368
2024/1/23,14885,447
2024/1/24,3090,93
2024/1/25,10373,311
2024/1/26,2009,60
2024/1/27,6225,187
2024/1/28,7997,240
2024/1/29,123,4
2024/1/30,3905,117
2024/1/31,8155,245
2024/2/1,3704,111
2024/2/2,11206,336
2024/2/3,9075,272
2024/2/4,4005,120
2024/2/5,11574,347
2024/2/6,9364,281
2024/2/7,725,22
2024/2/8,1313,39
2024/2/9,8277,248
2024/2/10,2791,84
2024/2/11,10821,325
2024/2/12,12308,369
2024/2/13,1093,33
2024/2/14,14644,439
2024/2/15,8961,269
2024/2/16,580,17
2024/2/17,4370,131
2024/2/18,13390,402
2024/2/19,12857,386
2024/2/20,2811,84
2024/2/21,2070,62
2024/2/22,11986,360
2024/2/23,4595,138
2024/2/24,4982,149
2024/2/25,7936,238
2024/2/26,6451,194
2024/2/27,2971,89
2024/2/28,4905,147
2024/2/29,13846,415
2023/3/1,2937,88
2023/3/2,8225,247
2023/3/3,3320,100
2023/3/4,1307,39
2023/3/5,4493,135
2023/3/6,12554,377
2023/3/7,13197,396
2023/3/8,1102,33
2023/3/9,4876,146
2023/3/10,1191,36
2023/3/11,2504,75
2023/3/12,4221,127
2023/3/13,14368,431
2023/3/14,7123,214
2023/3/15,3342,100
2023/3/16,13664,410
2023/3/17,14673,440
2023/3/18,3590,108
2023/3/19,13911,417
2023/3/20,5535,166
2023/3/21,12973,389
2023/3/22,8790,264
2023/3/23,9181,275
2023/3/24,5851,176
2023/3/25,5521,166
2023/3/26,12808,384
2023/3/27,5121,154
2023/3/28,485,15
2023/3/29,7686,231
2023/3/30,10844,325
2023/3/31,4702,141
