ID,Activity,Date
115,46,2023-07-12 11:38:41
83,31,2023-07-12 11:49:27
83,40,2023-07-12 11:49:27
83,46,2023-07-12 11:49:27
111,2,2023-07-12 13:15:03
83,2,2023-07-12 13:16:13
83,3,2023-07-12 13:16:18
83,1,2023-07-12 13:16:38
83,2,2023-07-12 13:17:07
111,1,2023-07-12 13:17:11
111,2,2023-07-12 13:18:24
83,1,2023-07-12 13:22:10
83,3,2023-07-12 13:22:33
83,2,2023-07-12 13:22:47
83,1,2023-07-12 13:23:12
79,2,2023-07-12 13:58:00
79,2,2023-07-12 13:58:33
79,1,2023-07-12 14:07:41
79,3,2023-07-12 14:07:50
77,31,2023-07-12 16:39:21
77,40,2023-07-12 16:39:21
77,46,2023-07-12 16:39:21
75,3,2023-07-12 21:45:15
75,1,2023-07-12 21:45:26
115,2,2023-07-13 09:14:55
115,3,2023-07-13 09:15:39
69,3,2023-07-13 11:38:07
77,31,2023-07-13 13:36:06
77,40,2023-07-13 13:36:06
110,13,2023-07-13 17:49:55
65,2,2023-07-14 11:03:00
65,3,2023-07-14 11:03:35
65,1,2023-07-14 13:39:58
107,31,2023-07-14 14:40:52
107,40,2023-07-14 14:40:52
65,1,2023-07-14 15:21:37
65,2,2023-07-14 15:21:59
79,31,2023-07-14 15:32:10
83,40,2023-07-14 15:32:10
83,46,2023-07-14 15:32:10
83,3,2023-07-14 15:32:19
83,1,2023-07-14 15:38:30
110,31,2023-07-14 17:25:40
110,40,2023-07-14 17:25:40
110,41,2023-07-14 17:25:40
110,46,2023-07-14 17:25:40
77,2,2023-07-15 14:43:33
77,1,2023-07-15 14:46:11
77,20,2023-07-15 14:46:54
77,1,2023-07-15 14:47:05
77,3,2023-07-15 14:47:15
110,2,2023-07-16 11:47:55
65,3,2023-07-16 13:11:15
65,1,2023-07-16 13:11:45
65,13,2023-07-16 14:16:20
65,31,2023-07-16 14:22:07
65,40,2023-07-16 14:22:07
65,46,2023-07-16 14:22:07
75,31,2023-07-17 12:02:18
75,46,2023-07-17 12:02:18
75,3,2023-07-17 12:03:14
75,1,2023-07-17 12:08:23
83,2,2023-07-18 10:21:08
83,1,2023-07-18 10:22:19
84,31,2023-07-18 13:37:33
84,40,2023-07-18 13:37:33
84,46,2023-07-18 13:37:33
84,3,2023-07-18 13:37:41
78,13,2023-07-18 14:39:19
78,31,2023-07-18 14:40:27
78,40,2023-07-18 14:40:27
75,2,2023-07-18 14:56:15
75,3,2023-07-18 14:57:10
75,1,2023-07-18 14:57:16
65,2,2023-07-18 15:17:37
69,3,2023-07-18 15:31:40
69,2,2023-07-18 15:31:45
102,31,2023-07-18 15:39:09
102,46,2023-07-18 15:39:09
77,31,2023-07-18 15:41:11
77,46,2023-07-18 15:41:11
79,2,2023-07-18 16:25:55
79,2,2023-07-18 16:27:31
75,1,2023-07-18 16:32:55
75,3,2023-07-18 16:33:38
78,22,2023-07-18 16:43:24
77,2,2023-07-18 17:36:57
77,2,2023-07-18 17:36:57
75,1,2023-07-18 17:43:21
79,1,2023-07-18 17:43:29
73,1,2023-07-18 17:44:04
116,1,2023-07-18 17:44:11
75,3,2023-07-18 17:44:19
111,1,2023-07-18 17:44:24
75,3,2023-07-18 17:44:28
75,2,2023-07-18 17:44:30
73,3,2023-07-18 17:44:30
79,20,2023-07-18 17:44:30
116,3,2023-07-18 17:44:33
79,3,2023-07-18 17:44:37
111,3,2023-07-18 17:44:43
79,3,2023-07-18 17:44:48
116,1,2023-07-18 17:45:11
83,3,2023-07-18 17:45:46
77,2,2023-07-18 17:46:11
89,2,2023-07-18 17:46:15
75,3,2023-07-18 17:46:19
79,3,2023-07-18 17:46:26
77,3,2023-07-18 17:46:31
111,2,2023-07-18 17:46:35
75,2,2023-07-18 17:47:03
89,3,2023-07-18 17:47:34
83,3,2023-07-18 17:49:18
83,2,2023-07-18 17:49:30
89,1,2023-07-18 17:50:02
111,2,2023-07-18 17:53:03
83,1,2023-07-18 18:20:20
79,3,2023-07-18 18:41:40
79,2,2023-07-18 18:43:32
79,1,2023-07-18 18:43:57
111,2,2023-07-18 21:24:00
111,3,2023-07-18 21:24:19
111,1,2023-07-18 21:26:00
65,2,2023-07-21 14:59:56
111,3,2023-07-27 08:20:20
83,3,2023-08-01 17:09:12
83,1,2023-08-01 17:09:28
83,3,2023-08-01 17:10:52
83,1,2023-08-01 17:10:59
115,3,2023-10-31 11:04:53
